Category,English,Greek,Transliteration
Verbs,to stop,σταματάω,stamatáo
Verbs,to start/begin,αρχίζω,archízo
Verbs,to finish,τελειώνω,telióno
Verbs,to play,παίζω,pézo
Verbs,to sing,τραγουδώ,tragoudó
Verbs,to dance,χορεύω,chorévo
Verbs,to wait,περιμένω,periméno
Verbs,to look for,ψάχνω,psáchno
Verbs,to find,βρίσκω,vrísko
Verbs,to ask,ρωτάω,rotáo
Verbs,to answer,απαντώ,apantó
Verbs,to help,βοηθάω,voitháo
Verbs,to remember,θυμάμαι,thymáme
Verbs,to forget,ξεχνάω,xechnáo
Verbs,to feel,νιώθω,niótho
Verbs,to arrive,φτάνω,ftáno
Verbs,to leave,φεύγω,févgo
Verbs,to enter,μπαίνω,béno
Verbs,to exit,βγαίνω,vyéno
Verbs,to stand,στέκομαι,stékome
Verbs,to sit,κάθομαι,káthome
Verbs,to fall,πέφτω,péfto
Verbs,to bring,φέρνω,férno
Verbs,to carry,κουβαλάω,kouvaláo
Verbs,to cook,μαγειρεύω,mayirévo
Verbs,to clean,καθαρίζω,katharízo
Verbs,to wash,πλένω,pléno
Verbs,to drive,οδηγώ,odigó
Verbs,to fly,πετάω,petáo
Verbs,to swim,κολυμπάω,kolimbáo
Verbs,to laugh,γελάω,geláo
Verbs,to cry,κλαίω,kléo
Verbs,to exist,υπάρχω,ypárcho
Verbs,to change,αλλάζω,allázo
Verbs,to learn,μαθαίνω,mathéno
Verbs,to teach,διδάσκω,didásko
Adjectives,big,μεγάλος,megálos
Adjectives,small,μικρός,mikrós
Adjectives,good,καλός,kalós
Adjectives,bad,κακός,kakós
Adjectives,new,καινούριος,kenoúrios
Adjectives,old,παλιός,paliós
Adjectives,young,νέος,néos
Adjectives,happy,χαρούμενος,charoúmenos
Adjectives,sad,λυπημένος,lypiménos
Adjectives,beautiful,όμορφος,ómorfos
Adjectives,ugly,άσχημος,áschimos
Adjectives,tall,ψηλός,psilós
Adjectives,short,κοντός,kondós
Adjectives,long,μακρύς,makrís
Adjectives,fast,γρήγορος,grígoros
Adjectives,slow,αργός,argós
Adjectives,hot,ζεστός,zestós
Adjectives,cold,κρύος,kríos
Adjectives,easy,εύκολος,éfkolos
Adjectives,difficult,δύσκολος,dískolos
Adjectives,strong,δυνατός,dynatós
Adjectives,weak,αδύναμος,adínamos
Adjectives,rich,πλούσιος,ploúsios
Adjectives,poor,φτωχός,ftochós
Adjectives,clean,καθαρός,katharós
Adjectives,dirty,βρώμικος,vrómikos
Adjectives,full,γεμάτος,gemátos
Adjectives,empty,άδειος,ádios
Adjectives,open,ανοιχτός,anichtós
Adjectives,closed,κλειστός,klistós
Adjectives,early,νωρίς,norís
Adjectives,late,αργά,argá
Adjectives,near,κοντά,kondá
Adjectives,far,μακριά,makriá
Adjectives,right,δεξιά,dexiá
Adjectives,left,αριστερά,aristerá
Adjectives,heavy,βαρύς,varís
Adjectives,light (weight),ελαφρύς,elafrís
Adjectives,same,ίδιος,ídios
Adjectives,different,διαφορετικός,diaforetikós
Adjectives,important,σημαντικός,simandikós
Adjectives,possible,δυνατός,dynatós
Adjectives,hard,σκληρός,sklirós
Adjectives,soft,μαλακός,malakós
Adjectives,sweet,γλυκός,glikós
Adjectives,bitter,πικρός,pikrós
Adjectives,delicious,νόστιμος,nóstimos
Adjectives,hungry,πεινασμένος,pinasménos
Adjectives,thirsty,διψασμένος,dipsasménos
Adjectives,tired,κουρασμένος,kourasménos
Adjectives,sick,άρρωστος,árostos
Food,bread,ψωμί,psomí
Food,water,νερό,neró
Food,milk,γάλα,gála
Food,coffee,καφές,kafés
Food,tea,τσάι,tsái
Food,wine,κρασί,krasí
Food,beer,μπύρα,bíra
Food,juice,χυμός,chymós
Food,egg,αβγό,avgó
Food,cheese,τυρί,tyrí
Food,butter,βούτυρο,voútyro
Food,meat,κρέας,kréas
Food,chicken,κοτόπουλο,kotópoulo
Food,fish,ψάρι,psári
Food,rice,ρύζι,rízi
Food,pasta,ζυμαρικά,zimariká
Food,soup,σούπα,soúpa
Food,salad,σαλάτα,saláta
Food,fruit,φρούτο,froúto
Food,apple,μήλο,mílo
Food,banana,μπανάνα,banána
Food,orange (fruit),πορτοκάλι,portokáli
Food,tomato,ντομάτα,domáta
Food,potato,πατάτα,patáta
Food,vegetable,λαχανικό,lachanikó
Food,salt,αλάτι,aláti
Food,sugar,ζάχαρη,zácharí
Food,sandwich,σάντουιτς,sándouits
Food,cake,τούρτα,toúrta
Food,ice cream,παγωτό,pagotó
Food,chocolate,σοκολάτα,sokoláta
Food,breakfast,πρωινό,proinó
Food,lunch,μεσημεριανό,mesimerianó
Food,dinner,βραδινό,vradinó
Food,plate,πιάτο,piáto
Food,glass (drinking),ποτήρι,potíri
Food,fork,πιρούνι,piroúni
Food,knife,μαχαίρι,machéri
Food,spoon,κουτάλι,koutáli
Food,napkin,χαρτοπετσέτα,chartopetséta
Food,restaurant,εστιατόριο,estiatório
Food,menu,μενού,menoú
Food,onion,κρεμμύδι,kremídi
Food,garlic,σκόρδο,skórdo
Food,lemon,λεμόνι,lemóni
Food,honey,μέλι,méli
Food,yogurt,γιαούρτι,yaoúrti
Food,pepper,πιπέρι,pipéri
Food,oil,λάδι,ládi
Body,head,κεφάλι,kefáli
Body,face,πρόσωπο,prósopo
Body,eye,μάτι,máti
Body,ear,αυτί,aftí
Body,nose,μύτη,míti
Body,mouth,στόμα,stóma
Body,hand,χέρι,chéri
Body,arm,μπράτσο,brátso
Body,leg,πόδι,pódi
Body,foot,πόδι,pódi
Body,finger,δάχτυλο,dáchtylo
Body,hair,μαλλιά,maliá
Body,tooth,δόντι,dónti
Body,heart,καρδιά,kardiá
Body,back,πλάτη,pláti
Body,stomach,στομάχι,stomáchi
Body,neck,λαιμός,lemós
Body,shoulder,ώμος,ómos
Body,knee,γόνατο,gónato
Body,skin,δέρμα,dérma
Clothing,clothes,ρούχα,roúcha
Clothing,shirt,πουκάμισο,poukámiso
Clothing,trousers/pants,παντελόνι,pandelóni
Clothing,dress,φόρεμα,fórema
Clothing,skirt,φούστα,foústa
Clothing,shoes,παπούτσια,papoútsia
Clothing,socks,κάλτσες,káltses
Clothing,jacket,μπουφάν,boufán
Clothing,coat,παλτό,paltó
Clothing,hat,καπέλο,kapélo
Clothing,t-shirt,μπλούζα,blúza
Clothing,sweater,πουλόβερ,poulóver
Clothing,scarf,κασκόλ,kaskól
Clothing,gloves,γάντια,gándia
Clothing,belt,ζώνη,zóni
House,house,σπίτι,spíti
House,apartment,διαμέρισμα,diamérisma
House,room,δωμάτιο,domátio
House,kitchen,κουζίνα,kouzína
House,bathroom,μπάνιο,bánio
House,bedroom,υπνοδωμάτιο,ypnodomátio
House,living room,σαλόνι,saylóni
House,door,πόρτα,pórta
House,window,παράθυρο,paráthyro
House,table,τραπέζι,trapézi
House,chair,καρέκλα,karékla
House,bed,κρεβάτι,kreváti
House,sofa,καναπές,kanapés
House,wall,τοίχος,tíchos
House,floor,πάτωμα,pátoma
House,roof,στέγη,stégi
House,key,κλειδί,klidí
House,lamp,λάμπα,lámpa
House,mirror,καθρέφτης,kathréftis
House,garden,κήπος,kípos
House,stairs,σκάλα,skála
House,television,τηλεόραση,tileórasi
House,telephone,τηλέφωνο,tiléfono
House,computer,υπολογιστής,ypologistís
House,clock,ρολόι,rolói
Animals,dog,σκύλος,skílos
Animals,cat,γάτα,gáta
Animals,bird,πουλί,poulí
Animals,horse,άλογο,álogo
Animals,cow,αγελάδα,ageláda
Animals,pig,γουρούνι,gouroúni
Animals,sheep,πρόβατο,próvato
Animals,fish (animal),ψάρι,psári
Animals,mouse,ποντίκι,pondíki
Animals,rabbit,κουνέλι,kounéli
Animals,lion,λιοντάρι,liondári
Animals,elephant,ελέφαντας,eléfantas
Animals,bear,αρκούδα,arkoúda
Animals,wolf,λύκος,líkos
Animals,fox,αλεπού,alepoú
Animals,monkey,μαϊμού,maimoú
Animals,duck,πάπια,pápia
Animals,chicken (animal),κότα,kóta
Animals,snake,φίδι,fídi
Animals,butterfly,πεταλούδα,petaloúda
Nature,sun,ήλιος,ílios
Nature,moon,φεγγάρι,feggári
Nature,star,αστέρι,astéri
Nature,sky,ουρανός,ouranós
Nature,rain,βροχή,vrochí
Nature,snow,χιόνι,chióni
Nature,wind,άνεμος,ánemos
Nature,cloud,σύννεφο,sínnefo
Nature,sea,θάλασσα,thálassa
Nature,river,ποτάμι,potámi
Nature,mountain,βουνό,vounó
Nature,forest,δάσος,dásos
Nature,tree,δέντρο,déndro
Nature,flower,λουλούδι,louloúdi
Nature,grass,γρασίδι,grasídi
Nature,stone,πέτρα,pétra
Nature,earth,γη,yi
Nature,fire,φωτιά,fotiá
Nature,air,αέρας,aéras
Nature,weather,καιρός,kerós
Transport,car,αυτοκίνητο,aftokínito
Transport,bus,λεωφορείο,leoforío
Transport,train,τρένο,tréno
Transport,plane,αεροπλάνο,aeropláno
Transport,bicycle,ποδήλατο,podílato
Transport,boat,βάρκα,várka
Transport,taxi,ταξί,taxí
Transport,ship,πλοίο,plío
Transport,metro/subway,μετρό,metró
Transport,motorcycle,μηχανή,michaní
Transport,road,δρόμος,drómos
Transport,airport,αεροδρόμιο,aerodrómio
Places,city,πόλη,póli
Places,street,δρόμος,drómos
Places,school,σχολείο,scholío
Places,hospital,νοσοκομείο,nosokomío
Places,shop/store,μαγαζί,magazí
Places,market,αγορά,agorá
Places,church,εκκλησία,ekklisía
Places,park,πάρκο,párko
Places,bank,τράπεζα,trápeza
Places,station,σταθμός,stathmós
Places,hotel,ξενοδοχείο,xenodochío
Places,library,βιβλιοθήκη,vivliothíki
Places,museum,μουσείο,mousío
Places,university,πανεπιστήμιο,panepistímio
Places,country,χώρα,chóra
Professions,teacher,δάσκαλος,dáskalos
Professions,doctor,γιατρός,yatrós
Professions,student,φοιτητής,fititís
Professions,engineer,μηχανικός,michanikós
Professions,lawyer,δικηγόρος,dikigóros
Professions,nurse,νοσοκόμα,noskóma
Professions,police officer,αστυνομικός,astynomikós
Professions,cook/chef,μάγειρας,máyiras
Professions,driver,οδηγός,odigós
Professions,worker,εργάτης,ergátis
School,book,βιβλίο,vivlío
School,pen,στυλό,stiló
School,pencil,μολύβι,molívi
School,paper,χαρτί,chartí
School,notebook,τετράδιο,tetrádio
School,desk,θρανίο,thranío
School,bag,τσάντα,tsánda
School,money,χρήματα,chrímata
School,letter,γράμμα,gráma
School,map,χάρτης,chártis
School,picture/photo,φωτογραφία,fotografía
School,name,όνομα,ónoma
School,word,λέξη,léxi
School,language,γλώσσα,glóssa
School,question,ερώτηση,erótisi
Prepositions,in,μέσα σε,mésa se
Prepositions,on,πάνω σε,páno se
Prepositions,under,κάτω από,káto apó
Prepositions,with,με,me
Prepositions,without,χωρίς,chorís
Prepositions,before,πριν,prin
Prepositions,after,μετά,metá
Prepositions,between,ανάμεσα,anámesa
Prepositions,towards,προς,pros
Prepositions,from,από,apó
Prepositions,for,για,ya
Prepositions,about,για,ya
Adverbs,very,πολύ,polí
Adverbs,also/too,επίσης,epísis
Adverbs,always,πάντα,pánda
Adverbs,never,ποτέ,poté
Adverbs,often,συχνά,sichná
Adverbs,sometimes,μερικές φορές,merikés forés
Adverbs,here,εδώ,edó
Adverbs,there,εκεί,ekí
Adverbs,maybe,ίσως,ísos
Adverbs,already,ήδη,ídi
Adverbs,still/yet,ακόμα,akóma
Adverbs,more,περισσότερο,perisótero
Adverbs,less,λιγότερο,ligótero
Adverbs,enough,αρκετά,arketá
Adverbs,together,μαζί,mazí
Countries,France,Γαλλία,Gallía
Countries,Italy,Ιταλία,Italía
Countries,Russia,Ρωσία,Rosía
Countries,Greece,Ελλάδα,Elláda
Countries,England,Αγγλία,Anglía
Countries,Germany,Γερμανία,Germanía
Countries,Spain,Ισπανία,Ispanía
Countries,world,κόσμος,kósmos
Countries,America,Αμερική,Amerikí
Countries,China,Κίνα,Kína
Misc,work/job,δουλειά,douliá
Misc,life,ζωή,zoí
Misc,love,αγάπη,agápi
Misc,music,μουσική,mousikí
Misc,film/movie,ταινία,tenía
Misc,game,παιχνίδι,pechnídi
Misc,sport,άθλημα,áthlima
Misc,news,νέα,néa
Misc,problem,πρόβλημα,próvlima
Misc,idea,ιδέα,idéa
Misc,way/road,δρόμος,drómos
Misc,number,αριθμός,arithmós
Misc,color,χρώμα,chróma
Misc,price,τιμή,timí
Misc,gift,δώρο,dóro
Misc,holiday/vacation,διακοπές,diakopés
Misc,party,πάρτι,párti
Misc,dream,όνειρο,óniro
Misc,health,υγεία,igía
Misc,peace,ειρήνη,iríni
