Category,English,Russian,Transliteration
Verbs,to be able to/can,мочь,moch'
Verbs,to know,знать,znat'
Verbs,to see,видеть,vídet'
Verbs,to say/tell,говорить,govorít'
Verbs,to speak,говорить,govorít'
Verbs,to eat,есть,yest'
Verbs,to drink,пить,pit'
Verbs,to sleep,спать,spat'
Verbs,to live,жить,zhit'
Verbs,to work,работать,rabótat'
Verbs,to study,учиться,uchít'sya
Verbs,to read,читать,chitát'
Verbs,to write,писать,pisát'
Verbs,to listen,слушать,slúshat'
Verbs,to look/watch,смотреть,smotrét'
Verbs,to understand,понимать,ponimát'
Verbs,to think,думать,dúmat'
Verbs,to love,любить,lyubít'
Verbs,to like,нравиться,nrávit'sya
Verbs,to need,нуждаться,nuzhdát'sya
Verbs,to buy,покупать,pokupát'
Verbs,to sell,продавать,prodavát'
Verbs,to pay,платить,platít'
Verbs,to open,открывать,otkryvát'
Verbs,to close,закрывать,zakryvát'
Verbs,to give,давать,davát'
Verbs,to take,брать,brat'
Verbs,to walk,идти пешком,idtí peshkóm
Verbs,to run,бежать,bezhát'
Verbs,to stop,останавливаться,ostanávlivat'sya
Verbs,to start/begin,начинать,nachinát'
Verbs,to finish,заканчивать,zakánchivat'
Verbs,to play,играть,igrát'
Verbs,to sing,петь,pet'
Verbs,to dance,танцевать,tantsevát'
Verbs,to wait,ждать,zhdat'
Verbs,to look for,искать,iskát'
Verbs,to find,находить,nakhodít'
Verbs,to ask,спрашивать,sprášivat'
Verbs,to answer,отвечать,otvechát'
Verbs,to help,помогать,pomogát'
Verbs,to remember,помнить,pómnit'
Verbs,to forget,забывать,zabyvát'
Verbs,to feel,чувствовать,chúvstvovat'
Verbs,to arrive,приезжать,priyezzhát'
Verbs,to leave,уезжать,uyezzhát'
Verbs,to enter,входить,vkhodít'
Verbs,to exit,выходить,vykhodít'
Verbs,to stand,стоять,stoyát'
Verbs,to sit,сидеть,sidét'
Verbs,to fall,падать,pádat'
Verbs,to bring,приносить,prinosít'
Verbs,to carry,нести,nestí
Verbs,to cook,готовить,gotóvit'
Verbs,to clean,убирать,ubirát'
Verbs,to wash,мыть,myt'
Verbs,to drive,водить,vodít'
Verbs,to fly,летать,letát'
Verbs,to swim,плавать,plávat'
Verbs,to laugh,смеяться,smeyát'sya
Verbs,to cry,плакать,plákat'
Verbs,to exist,существовать,sushchestvovát'
Verbs,to change,менять,menyát'
Verbs,to learn,учить,uchít'
Verbs,to teach,учить,uchít'
Adjectives,big,большой,bol'shóy
Adjectives,small,маленький,málen'kiy
Adjectives,good,хороший,khoróshiy
Adjectives,bad,плохой,plokhóy
Adjectives,new,новый,nóvyy
Adjectives,old,старый,stáryy
Adjectives,young,молодой,molodóy
Adjectives,happy,счастливый,schastlívyy
Adjectives,sad,грустный,grústnyy
Adjectives,beautiful,красивый,krasívyy
Adjectives,ugly,некрасивый,nekrasívyy
Adjectives,tall,высокий,vysókiy
Adjectives,short,низкий,nízkiy
Adjectives,long,длинный,dlínnyy
Adjectives,fast,быстрый,bístryy
Adjectives,slow,медленный,médlennyy
Adjectives,hot,горячий,goryáchiy
Adjectives,cold,холодный,khólodnyy
Adjectives,easy,лёгкий,lyógkiy
Adjectives,difficult,трудный,trúdnyy
Adjectives,strong,сильный,síl'nyy
Adjectives,weak,слабый,slábyy
Adjectives,rich,богатый,bogátyy
Adjectives,poor,бедный,bédnyy
Adjectives,clean,чистый,chístyy
Adjectives,dirty,грязный,gryáznyy
Adjectives,full,полный,pólnyy
Adjectives,empty,пустой,pustóy
Adjectives,open,открытый,otkrýtyy
Adjectives,closed,закрытый,zakrýtyy
Adjectives,early,ранний,ránniy
Adjectives,late,поздний,pózdniy
Adjectives,near,близкий,blízkiy
Adjectives,far,далёкий,dalyókiy
Adjectives,right,правый,právyy
Adjectives,left,левый,lévyy
Adjectives,heavy,тяжёлый,tyazhyólyy
Adjectives,light (weight),лёгкий,lyógkiy
Adjectives,same,тот же,tot zhe
Adjectives,different,другой,drugóy
Adjectives,important,важный,vázhnyy
Adjectives,possible,возможный,vozmózhnyy
Adjectives,hard,трудный,trúdnyy
Adjectives,soft,мягкий,myágkiy
Adjectives,sweet,сладкий,sládkiy
Adjectives,bitter,горький,gór'kiy
Adjectives,delicious,вкусный,vkúsnyy
Adjectives,hungry,голодный,golódnyy
Adjectives,thirsty,жаждущий,zházhdushchiy
Adjectives,tired,усталый,ustályy
Adjectives,sick,больной,bol'nóy
Food,bread,хлеб,khleb
Food,water,вода,vodá
Food,milk,молоко,molokó
Food,coffee,кофе,kófe
Food,tea,чай,chay
Food,wine,вино,vinó
Food,beer,пиво,pívo
Food,juice,сок,sok
Food,egg,яйцо,yaytsó
Food,cheese,сыр,syr
Food,butter,масло,máslo
Food,meat,мясо,myáso
Food,chicken,курица,kúritsa
Food,fish,рыба,ríba
Food,rice,рис,ris
Food,pasta,паста,pásta
Food,soup,суп,sup
Food,salad,салат,salát
Food,fruit,фрукт,frukt
Food,apple,яблоко,yábloko
Food,banana,банан,banán
Food,orange (fruit),апельсин,apel'sín
Food,tomato,помидор,pomidór
Food,potato,картофель,kartófel'
Food,vegetable,овощ,óvoshch
Food,salt,соль,sol'
Food,sugar,сахар,sákhar
Food,sandwich,бутерброд,buterbród
Food,cake,торт,tort
Food,ice cream,мороженое,morózhenoye
Food,chocolate,шоколад,shokolád
Food,breakfast,завтрак,závtrak
Food,lunch,обед,obéd
Food,dinner,ужин,úzhin
Food,plate,тарелка,tarélka
Food,glass (drinking),стакан,stakán
Food,fork,вилка,vílka
Food,knife,нож,nozh
Food,spoon,ложка,lózhka
Food,napkin,салфетка,salfétka
Food,restaurant,ресторан,restorán
Food,menu,меню,menyú
Food,onion,лук,luk
Food,garlic,чеснок,chesnók
Food,lemon,лимон,limón
Food,honey,мёд,myod
Food,yogurt,йогурт,yógurt
Food,pepper,перец,pérets
Food,oil,масло,máslo
Body,head,голова,golová
Body,face,лицо,litsó
Body,eye,глаз,glaz
Body,ear,ухо,ukho
Body,nose,нос,nos
Body,mouth,рот,rot
Body,hand,рука,ruká
Body,arm,рука,ruká
Body,leg,нога,nogá
Body,foot,ступня,stupnyá
Body,finger,палец,pálets
Body,hair,волосы,vólosy
Body,tooth,зуб,zub
Body,heart,сердце,sértse
Body,back,спина,spiná
Body,stomach,живот,zhivót
Body,neck,шея,shéya
Body,shoulder,плечо,plechó
Body,knee,колено,koléno
Body,skin,кожа,kózha
Clothing,clothes,одежда,odézhda
Clothing,shirt,рубашка,rubáshka
Clothing,trousers/pants,брюки,bryúki
Clothing,dress,платье,plát'ye
Clothing,skirt,юбка,yúbka
Clothing,shoes,туфли,túfli
Clothing,socks,носки,noskí
Clothing,jacket,куртка,kúrtka
Clothing,coat,пальто,pal'tó
Clothing,hat,шапка,shápka
Clothing,t-shirt,футболка,futbólka
Clothing,sweater,свитер,svíter
Clothing,scarf,шарф,sharf
Clothing,gloves,перчатки,perchátki
Clothing,belt,ремень,remén'
House,house,дом,dom
House,apartment,квартира,kvartíra
House,room,комната,kómnata
House,kitchen,кухня,kúkhnya
House,bathroom,ванная,vánnaya
House,bedroom,спальня,spál'nya
House,living room,гостиная,gostínaya
House,door,дверь,dver'
House,window,окно,oknó
House,table,стол,stol
House,chair,стул,stul
House,bed,кровать,krovát'
House,sofa,диван,divan
House,wall,стена,stená
House,floor,пол,pol
House,roof,крыша,krísha
House,key,ключ,klyuch
House,lamp,лампа,lámpa
House,mirror,зеркало,zérkalo
House,garden,сад,sad
House,stairs,лестница,léstnitsa
House,television,телевизор,televízor
House,telephone,телефон,telefón
House,computer,компьютер,komp'yúter
House,clock,часы,chasý
Animals,dog,собака,sobáka
Animals,cat,кошка,kóshka
Animals,bird,птица,ptítsa
Animals,horse,лошадь,lóshad'
Animals,cow,корова,koróva
Animals,pig,свинья,svin'yá
Animals,sheep,овца,ovtsá
Animals,fish (animal),рыба,ríba
Animals,mouse,мышь,mysh
Animals,rabbit,кролик,królik
Animals,lion,лев,lev
Animals,elephant,слон,slon
Animals,bear,медведь,medvéd'
Animals,wolf,волк,volk
Animals,fox,лиса,lisá
Animals,monkey,обезьяна,obez'yána
Animals,duck,утка,útka
Animals,chicken (animal),курица,kúritsa
Animals,snake,змея,zmeyá
Animals,butterfly,бабочка,bábochka
Nature,sun,солнце,sóntse
Nature,moon,луна,luná
Nature,star,звезда,zvezdá
Nature,sky,небо,nébo
Nature,rain,дождь,dozhd'
Nature,snow,снег,sneg
Nature,wind,ветер,véter
Nature,cloud,облако,óblako
Nature,sea,море,móre
Nature,river,река,reká
Nature,mountain,гора,gorá
Nature,forest,лес,les
Nature,tree,дерево,dérevo
Nature,flower,цветок,tsvetók
Nature,grass,трава,traivá
Nature,stone,камень,kámen'
Nature,earth,земля,zemlyá
Nature,fire,огонь,ogón'
Nature,air,воздух,vózdukh
Nature,weather,погода,pogóda
Transport,car,машина,mashína
Transport,bus,автобус,avtóbus
Transport,train,поезд,póyezd
Transport,plane,самолёт,samolyót
Transport,bicycle,велосипед,velosipéd
Transport,boat,лодка,lódka
Transport,taxi,такси,taksí
Transport,ship,корабль,korábl'
Transport,metro/subway,метро,metró
Transport,motorcycle,мотоцикл,mototsíkl
Transport,road,дорога,doróga
Transport,airport,аэропорт,aeropórt
Places,city,город,górod
Places,street,улица,úlitsa
Places,school,школа,shkóla
Places,hospital,больница,bol'nítsa
Places,shop/store,магазин,magazín
Places,market,рынок,rínok
Places,church,церковь,tsérkov'
Places,park,парк,park
Places,bank,банк,bank
Places,station,станция,stántsiya
Places,hotel,гостиница,gostínitsa
Places,library,библиотека,bibliotéka
Places,museum,музей,muzéy
Places,university,университет,universitét
Places,country,страна,straná
Professions,teacher,учитель,uchítel'
Professions,doctor,врач,vrach
Professions,student,студент,studént
Professions,engineer,инженер,inzhenér
Professions,lawyer,юрист,yuríst
Professions,nurse,медсестра,medsestrá
Professions,police officer,полицейский,politséyskiy
Professions,cook/chef,повар,póvar
Professions,driver,водитель,vodítel'
Professions,worker,рабочий,rabóchiy
School,book,книга,kníga
School,pen,ручка,rúchka
School,pencil,карандаш,karandásh
School,paper,бумага,bumága
School,notebook,тетрадь,tetrád'
School,desk,парта,párta
School,bag,сумка,súmka
School,money,деньги,dén'gi
School,letter,письмо,pís'mo
School,map,карта,kárta
School,picture/photo,фотография,fotográfiya
School,name,имя,ímya
School,word,слово,slóvo
School,language,язык,yazík
School,question,вопрос,voprós
Prepositions,in,в,v
Prepositions,on,на,na
Prepositions,under,под,pod
Prepositions,with,с,s
Prepositions,without,без,bez
Prepositions,before,до,do
Prepositions,after,после,pósle
Prepositions,between,между,mézhdu
Prepositions,towards,к,k
Prepositions,from,из,iz
Prepositions,for,для,dlya
Prepositions,about,о,o
Adverbs,very,очень,óchen'
Adverbs,also/too,тоже,tózhe
Adverbs,always,всегда,vsegdá
Adverbs,never,никогда,nikogdá
Adverbs,often,часто,chásto
Adverbs,sometimes,иногда,inogdá
Adverbs,here,здесь,zdes'
Adverbs,there,там,tam
Adverbs,maybe,может быть,mózhet byt'
Adverbs,already,уже,uzhé
Adverbs,still/yet,ещё,eshchyó
Adverbs,more,больше,ból'she
Adverbs,less,меньше,mén'she
Adverbs,enough,достаточно,dostátochno
Adverbs,together,вместе,vméste
Countries,France,Франция,Frántsiya
Countries,Italy,Италия,Itáliya
Countries,Russia,Россия,Rossíya
Countries,Greece,Греция,Grétsiya
Countries,England,Англия,Ángliya
Countries,Germany,Германия,Germániya
Countries,Spain,Испания,Ispániya
Countries,world,мир,mir
Countries,America,Америка,Amérika
Countries,China,Китай,Kitáy
Misc,work/job,работа,rabóta
Misc,life,жизнь,zhizn'
Misc,love,любовь,lyubóv'
Misc,music,музыка,múzyka
Misc,film/movie,фильм,fil'm
Misc,game,игра,igrá
Misc,sport,спорт,sport
Misc,news,новости,nóvosti
Misc,problem,проблема,probléma
Misc,idea,идея,idéya
Misc,way/road,путь,put'
Misc,number,число,chisló
Misc,color,цвет,tsvet
Misc,price,цена,tsená
Misc,gift,подарок,podárok
Misc,holiday/vacation,отпуск,ótpusk
Misc,party,вечеринка,vecherínka
Misc,dream,мечта,mechtá
Misc,health,здоровье,zdoróv'ye
Misc,peace,мир,mir
