Category,English,Italian
Pronouns,that,quello
Pronouns,my,mio
Pronouns,your,tuo
Pronouns,our,nostro
Time,today,oggi
Time,tomorrow,domani
Time,yesterday,ieri
Time,now,adesso
Time,later,dopo
Time,morning,mattina
Time,afternoon,pomeriggio
Time,evening,sera
Time,night,notte
Time,week,settimana
Time,month,mese
Time,year,anno
Time,hour,ora
Time,minute,minuto
Time,day,giorno
Verbs,to be,essere
Verbs,to have,avere
Verbs,to do/make,fare
Verbs,to go,andare
Verbs,to come,venire
Verbs,to want,volere
Verbs,to be able to/can,potere
Verbs,to know,sapere
Verbs,to see,vedere
Verbs,to say/tell,dire
Verbs,to speak,parlare
Verbs,to eat,mangiare
Verbs,to drink,bere
Verbs,to sleep,dormire
Verbs,to live,vivere
Verbs,to work,lavorare
Verbs,to study,studiare
Verbs,to read,leggere
Verbs,to write,scrivere
Verbs,to listen,ascoltare
Verbs,to look/watch,guardare
Verbs,to understand,capire
Verbs,to think,pensare
Verbs,to love,amare
Verbs,to like,piacere
Verbs,to need,avere bisogno di
Verbs,to buy,comprare
Verbs,to sell,vendere
Verbs,to pay,pagare
Verbs,to open,aprire
Verbs,to close,chiudere
Verbs,to give,dare
Verbs,to take,prendere
Verbs,to walk,camminare
Verbs,to run,correre
Verbs,to stop,fermare
Verbs,to start/begin,iniziare
Verbs,to finish,finire
Verbs,to play,giocare
Verbs,to sing,cantare
Verbs,to dance,ballare
Verbs,to wait,aspettare
Verbs,to look for,cercare
Verbs,to find,trovare
Verbs,to ask,chiedere
Verbs,to answer,rispondere
Verbs,to help,aiutare
Verbs,to remember,ricordare
Verbs,to forget,dimenticare
Verbs,to feel,sentire
Verbs,to arrive,arrivare
Verbs,to leave,partire
Verbs,to enter,entrare
Verbs,to exit,uscire
Verbs,to stand,stare in piedi
Verbs,to sit,sedersi
Verbs,to fall,cadere
Verbs,to bring,portare
Verbs,to carry,portare
Verbs,to cook,cucinare
Verbs,to clean,pulire
Verbs,to wash,lavare
Verbs,to drive,guidare
Verbs,to fly,volare
Verbs,to swim,nuotare
Verbs,to laugh,ridere
Verbs,to cry,piangere
Verbs,to exist,esistere
Verbs,to change,cambiare
Verbs,to learn,imparare
Verbs,to teach,insegnare
Adjectives,big,grande
Adjectives,small,piccolo
Adjectives,good,buono
Adjectives,bad,cattivo
Adjectives,new,nuovo
Adjectives,old,vecchio
Adjectives,young,giovane
Adjectives,happy,felice
Adjectives,sad,triste
Adjectives,beautiful,bello
Adjectives,ugly,brutto
Adjectives,tall,alto
Adjectives,short,corto
Adjectives,long,lungo
Adjectives,fast,veloce
Adjectives,slow,lento
Adjectives,hot,caldo
Adjectives,cold,freddo
Adjectives,easy,facile
Adjectives,difficult,difficile
Adjectives,strong,forte
Adjectives,weak,debole
Adjectives,rich,ricco
Adjectives,poor,povero
Adjectives,clean,pulito
Adjectives,dirty,sporco
Adjectives,full,pieno
Adjectives,empty,vuoto
Adjectives,open,aperto
Adjectives,closed,chiuso
Adjectives,early,presto
Adjectives,late,tardi
Adjectives,near,vicino
Adjectives,far,lontano
Adjectives,right,destro
Adjectives,left,sinistro
Adjectives,heavy,pesante
Adjectives,light (weight),leggero
Adjectives,same,stesso
Adjectives,different,diverso
Adjectives,important,importante
Adjectives,possible,possibile
Adjectives,hard,duro
Adjectives,soft,morbido
Adjectives,sweet,dolce
Adjectives,bitter,amaro
Adjectives,delicious,delizioso
Adjectives,hungry,affamato
Adjectives,thirsty,assetato
Adjectives,tired,stanco
Adjectives,sick,malato
Food,bread,pane
Food,water,acqua
Food,milk,latte
Food,coffee,caffè
Food,tea,tè
Food,wine,vino
Food,beer,birra
Food,juice,succo
Food,egg,uovo
Food,cheese,formaggio
Food,butter,burro
Food,meat,carne
Food,chicken,pollo
Food,fish,pesce
Food,rice,riso
Food,pasta,pasta
Food,soup,zuppa
Food,salad,insalata
Food,fruit,frutta
Food,apple,mela
Food,banana,banana
Food,orange (fruit),arancia
Food,tomato,pomodoro
Food,potato,patata
Food,vegetable,verdura
Food,salt,sale
Food,sugar,zucchero
Food,sandwich,panino
Food,cake,torta
Food,ice cream,gelato
Food,chocolate,cioccolato
Food,breakfast,colazione
Food,lunch,pranzo
Food,dinner,cena
Food,plate,piatto
Food,glass (drinking),bicchiere
Food,fork,forchetta
Food,knife,coltello
Food,spoon,cucchiaio
Food,napkin,tovagliolo
Food,restaurant,ristorante
Food,menu,menu
Food,onion,cipolla
Food,garlic,aglio
Food,lemon,limone
Food,honey,miele
Food,yogurt,yogurt
Food,pepper,pepe
Food,oil,olio
Body,head,testa
Body,face,viso
Body,eye,occhio
Body,ear,orecchio
Body,nose,naso
Body,mouth,bocca
Body,hand,mano
Body,arm,braccio
Body,leg,gamba
Body,foot,piede
Body,finger,dito
Body,hair,capelli
Body,tooth,dente
Body,heart,cuore
Body,back,schiena
Body,stomach,pancia
Body,neck,collo
Body,shoulder,spalla
Body,knee,ginocchio
Body,skin,pelle
Clothing,clothes,vestiti
Clothing,shirt,camicia
Clothing,trousers/pants,pantaloni
Clothing,dress,vestito
Clothing,skirt,gonna
Clothing,shoes,scarpe
Clothing,socks,calzini
Clothing,jacket,giacca
Clothing,coat,cappotto
Clothing,hat,cappello
Clothing,t-shirt,maglietta
Clothing,sweater,maglione
Clothing,scarf,sciarpa
Clothing,gloves,guanti
Clothing,belt,cintura
House,house,casa
House,apartment,appartamento
House,room,stanza
House,kitchen,cucina
House,bathroom,bagno
House,bedroom,camera da letto
House,living room,soggiorno
House,door,porta
House,window,finestra
House,table,tavolo
House,chair,sedia
House,bed,letto
House,sofa,divano
House,wall,muro
House,floor,pavimento
House,roof,tetto
House,key,chiave
House,lamp,lampada
House,mirror,specchio
House,garden,giardino
House,stairs,scale
House,television,televisione
House,telephone,telefono
House,computer,computer
House,clock,orologio
Animals,dog,cane
Animals,cat,gatto
Animals,bird,uccello
Animals,horse,cavallo
Animals,cow,mucca
Animals,pig,maiale
Animals,sheep,pecora
Animals,fish (animal),pesce
Animals,mouse,topo
Animals,rabbit,coniglio
Animals,lion,leone
Animals,elephant,elefante
Animals,bear,orso
Animals,wolf,lupo
Animals,fox,volpe
Animals,monkey,scimmia
Animals,duck,anatra
Animals,chicken (animal),gallina
Animals,snake,serpente
Animals,butterfly,farfalla
Nature,sun,sole
Nature,moon,luna
Nature,star,stella
Nature,sky,cielo
Nature,rain,pioggia
Nature,snow,neve
Nature,wind,vento
Nature,cloud,nuvola
Nature,sea,mare
Nature,river,fiume
Nature,mountain,montagna
Nature,forest,foresta
Nature,tree,albero
Nature,flower,fiore
Nature,grass,erba
Nature,stone,pietra
Nature,earth,terra
Nature,fire,fuoco
Nature,air,aria
Nature,weather,tempo
Transport,car,macchina
Transport,bus,autobus
Transport,train,treno
Transport,plane,aereo
Transport,bicycle,bicicletta
Transport,boat,barca
Transport,taxi,taxi
Transport,ship,nave
Transport,metro/subway,metro
Transport,motorcycle,motocicletta
Transport,road,strada
Transport,airport,aeroporto
Places,city,città
Places,street,via
Places,school,scuola
Places,hospital,ospedale
Places,shop/store,negozio
Places,market,mercato
Places,church,chiesa
Places,park,parco
Places,bank,banca
Places,station,stazione
Places,hotel,albergo
Places,library,biblioteca
Places,museum,museo
Places,university,università
Places,country,paese
Professions,teacher,insegnante
Professions,doctor,dottore
Professions,student,studente
Professions,engineer,ingegnere
Professions,lawyer,avvocato
Professions,nurse,infermiere
Professions,police officer,poliziotto
Professions,cook/chef,cuoco
Professions,driver,autista
Professions,worker,operaio
School,book,libro
School,pen,penna
School,pencil,matita
School,paper,carta
School,notebook,quaderno
School,desk,scrivania
School,bag,borsa
School,money,soldi
School,letter,lettera
School,map,mappa
School,picture/photo,foto
School,name,nome
School,word,parola
School,language,lingua
School,question,domanda
Prepositions,in,in
Prepositions,on,su
Prepositions,under,sotto
Prepositions,with,con
Prepositions,without,senza
Prepositions,before,prima
Prepositions,after,dopo
Prepositions,between,tra
Prepositions,towards,verso
Prepositions,from,da
Prepositions,for,per
Prepositions,about,riguardo a
Adverbs,very,molto
Adverbs,also/too,anche
Adverbs,always,sempre
Adverbs,never,mai
Adverbs,often,spesso
Adverbs,sometimes,a volte
Adverbs,here,qui
Adverbs,there,lì
Adverbs,maybe,forse
Adverbs,already,già
Adverbs,still/yet,ancora
Adverbs,more,più
Adverbs,less,meno
Adverbs,enough,abbastanza
Adverbs,together,insieme
Countries,France,Francia
Countries,Italy,Italia
Countries,Russia,Russia
Countries,Greece,Grecia
Countries,England,Inghilterra
Countries,Germany,Germania
Countries,Spain,Spagna
Countries,world,mondo
Countries,America,America
Countries,China,Cina
Misc,work/job,lavoro
Misc,life,vita
Misc,love,amore
Misc,music,musica
Misc,film/movie,film
Misc,game,gioco
Misc,sport,sport
Misc,news,notizie
Misc,problem,problema
Misc,idea,idea
Misc,way/road,strada
Misc,number,numero
Misc,color,colore
Misc,price,prezzo
Misc,gift,regalo
Misc,holiday/vacation,vacanza
Misc,party,festa
Misc,dream,sogno
Misc,health,salute
Misc,peace,pace
